orgUnit,period,dataElement,original_value,corrupted_value,error_type
Facility_010,202511,ANC_2nd_visit,65.0,650.0,extra_digit
Facility_012,202505,ANC_1st_visit,170.0,710.0,transposition
Facility_007,202406,ANC_1st_visit,127.0,1270.0,extra_digit
Facility_023,202501,Malaria_tested,537.0,5370.0,extra_digit
Facility_009,202406,Malaria_confirmed,258.0,250000.0,impossible_magnitude
Facility_040,202403,Malaria_treated,165.0,1101.0,consistency_break
Facility_003,202510,ANC_1st_visit,256.0,526.0,transposition
Facility_026,202502,ANC_1st_visit,127.0,-127.0,negative
Facility_026,202401,Malaria_treated,89.0,98.0,transposition
Facility_004,202508,ITN_distributed,167.0,1198.0,consistency_break
Facility_025,202409,Malaria_confirmed,150.0,610.0,consistency_break
Facility_020,202508,Malaria_tested,523.0,253.0,transposition
Facility_015,202503,ANC_1st_visit,172.0,712.0,transposition
Facility_033,202510,ANC_1st_visit,94.0,-94.0,negative
Facility_016,202511,ITN_distributed,34.0,317.0,consistency_break
Facility_038,202512,ITN_distributed,60.0,250000.0,impossible_magnitude
Facility_015,202510,Malaria_tested,463.0,-463.0,negative
Facility_028,202401,ANC_2nd_visit,133.0,-133.0,negative
Facility_025,202511,Malaria_treated,54.0,-54.0,negative
Facility_001,202501,Malaria_confirmed,178.0,-178.0,negative
Facility_013,202402,Malaria_treated,154.0,250000.0,impossible_magnitude
Facility_016,202410,ITN_distributed,72.0,360.0,consistency_break
Facility_007,202403,ANC_1st_visit,145.0,-145.0,negative
Facility_032,202408,ANC_2nd_visit,93.0,-93.0,negative
Facility_032,202402,ANC_2nd_visit,108.0,-108.0,negative
Facility_031,202408,ANC_2nd_visit,430.0,4300.0,extra_digit
Facility_007,202406,Malaria_tested,753.0,573.0,transposition
Facility_002,202411,Malaria_tested,106.0,170.0,consistency_break
Facility_038,202412,Malaria_confirmed,57.0,282.0,consistency_break
Facility_025,202501,Malaria_tested,221.0,2210.0,extra_digit
Facility_015,202405,ANC_1st_visit,144.0,1034.0,consistency_break
Facility_003,202411,ANC_1st_visit,246.0,771.0,consistency_break
Facility_027,202510,Malaria_treated,212.0,2120.0,extra_digit
Facility_019,202402,Malaria_tested,540.0,450.0,transposition
Facility_040,202502,ANC_2nd_visit,193.0,387.0,consistency_break
Facility_039,202501,ANC_1st_visit,87.0,870.0,extra_digit
Facility_026,202410,Malaria_treated,110.0,1100.0,extra_digit
Facility_026,202411,Malaria_tested,189.0,819.0,transposition
Facility_029,202504,Malaria_confirmed,283.0,2830.0,extra_digit
Facility_030,202407,Malaria_treated,254.0,-254.0,negative
Facility_005,202508,ANC_2nd_visit,36.0,83.0,consistency_break
Facility_015,202411,Malaria_treated,175.0,1750.0,extra_digit
Facility_030,202506,Malaria_confirmed,308.0,38.0,transposition
Facility_033,202409,ANC_2nd_visit,93.0,250000.0,impossible_magnitude
Facility_033,202412,Malaria_confirmed,82.0,28.0,transposition
Facility_027,202505,Malaria_confirmed,295.0,925.0,transposition
Facility_022,202409,ANC_1st_visit,75.0,57.0,transposition
Facility_004,202503,Malaria_treated,239.0,2390.0,extra_digit
Facility_026,202506,Malaria_tested,456.0,4560.0,extra_digit
Facility_021,202501,Malaria_confirmed,106.0,416.0,consistency_break
Facility_040,202504,Malaria_treated,331.0,-331.0,negative
Facility_006,202408,Malaria_confirmed,98.0,980.0,extra_digit
Facility_024,202508,ANC_1st_visit,100.0,1000.0,extra_digit
Facility_027,202507,ANC_1st_visit,182.0,1250.0,consistency_break
Facility_033,202503,Malaria_treated,110.0,1100.0,extra_digit
Facility_032,202506,Malaria_tested,475.0,760.0,consistency_break
Facility_027,202406,Malaria_confirmed,354.0,-354.0,negative
Facility_036,202410,Malaria_treated,194.0,914.0,transposition
Facility_012,202406,Malaria_tested,903.0,9030.0,extra_digit
Facility_037,202504,Malaria_treated,164.0,1640.0,extra_digit
Facility_019,202409,ANC_2nd_visit,166.0,616.0,transposition
Facility_038,202501,Malaria_treated,61.0,355.0,consistency_break
Facility_009,202509,Malaria_tested,476.0,4760.0,extra_digit
Facility_003,202409,ANC_1st_visit,191.0,-191.0,negative
Facility_022,202502,ANC_2nd_visit,69.0,-69.0,negative
Facility_018,202509,Malaria_tested,174.0,1740.0,extra_digit
Facility_031,202407,ITN_distributed,419.0,149.0,transposition
Facility_022,202407,ANC_1st_visit,108.0,1080.0,extra_digit
Facility_002,202505,ITN_distributed,62.0,26.0,transposition
Facility_025,202409,Malaria_treated,150.0,1500.0,extra_digit
Facility_040,202402,ANC_2nd_visit,191.0,911.0,transposition
Facility_040,202512,Malaria_confirmed,181.0,-181.0,negative
Facility_013,202404,Malaria_tested,496.0,946.0,transposition
Facility_020,202506,Malaria_confirmed,200.0,-200.0,negative
Facility_023,202503,ITN_distributed,252.0,250000.0,impossible_magnitude
Facility_028,202405,Malaria_treated,273.0,723.0,transposition
Facility_021,202503,ITN_distributed,78.0,590.0,consistency_break
Facility_003,202511,Malaria_confirmed,163.0,1630.0,extra_digit
Facility_035,202505,Malaria_treated,311.0,-311.0,negative
Facility_008,202401,Malaria_tested,326.0,3260.0,extra_digit
Facility_020,202412,Malaria_confirmed,88.0,-88.0,negative
Facility_039,202504,Malaria_tested,310.0,496.0,consistency_break
Facility_007,202405,Malaria_tested,556.0,890.0,consistency_break
Facility_022,202401,Malaria_treated,83.0,38.0,transposition
Facility_020,202403,ITN_distributed,76.0,760.0,extra_digit
Facility_036,202505,Malaria_treated,442.0,4420.0,extra_digit
Facility_027,202402,ITN_distributed,193.0,643.0,consistency_break
Facility_005,202407,Malaria_tested,203.0,2030.0,extra_digit
Facility_038,202505,ITN_distributed,61.0,610.0,extra_digit
Facility_025,202505,ITN_distributed,65.0,250000.0,impossible_magnitude
Facility_019,202411,Malaria_treated,196.0,250000.0,impossible_magnitude
Facility_040,202405,Malaria_tested,797.0,-797.0,negative
Facility_014,202504,Malaria_treated,378.0,1605.0,consistency_break
Facility_031,202408,ANC_1st_visit,443.0,4430.0,extra_digit
Facility_002,202507,Malaria_tested,296.0,-296.0,negative
Facility_020,202402,Malaria_tested,330.0,-330.0,negative
Facility_027,202403,Malaria_treated,225.0,250000.0,impossible_magnitude
Facility_021,202504,Malaria_confirmed,220.0,250000.0,impossible_magnitude
Facility_006,202506,ITN_distributed,38.0,712.0,consistency_break
Facility_029,202512,ITN_distributed,154.0,1540.0,extra_digit
Facility_023,202401,Malaria_treated,348.0,438.0,transposition
Facility_010,202411,ITN_distributed,43.0,430.0,extra_digit
Facility_029,202403,ITN_distributed,151.0,723.0,consistency_break
Facility_034,202512,ITN_distributed,52.0,520.0,extra_digit
Facility_033,202412,ANC_2nd_visit,75.0,750.0,extra_digit
Facility_013,202407,ANC_2nd_visit,104.0,302.0,consistency_break
Facility_019,202501,Malaria_treated,158.0,518.0,transposition
Facility_017,202412,Malaria_confirmed,122.0,453.0,consistency_break
Facility_040,202404,ANC_1st_visit,205.0,2050.0,extra_digit
Facility_024,202403,ANC_2nd_visit,86.0,220.0,consistency_break
Facility_006,202410,ANC_2nd_visit,57.0,570.0,extra_digit
Facility_002,202509,ANC_1st_visit,56.0,560.0,extra_digit
Facility_018,202507,Malaria_confirmed,161.0,611.0,transposition
Facility_017,202508,ANC_1st_visit,183.0,1830.0,extra_digit
Facility_007,202508,ANC_1st_visit,138.0,318.0,transposition
Facility_027,202408,Malaria_tested,648.0,6480.0,extra_digit
Facility_026,202512,Malaria_tested,258.0,2580.0,extra_digit
Facility_003,202501,ANC_1st_visit,142.0,747.0,consistency_break
Facility_014,202501,Malaria_tested,556.0,5560.0,extra_digit
Facility_021,202407,ANC_2nd_visit,81.0,254.0,consistency_break
Facility_029,202401,ANC_2nd_visit,150.0,310.0,consistency_break
Facility_003,202406,ANC_2nd_visit,173.0,1730.0,extra_digit
Facility_035,202403,Malaria_treated,285.0,995.0,consistency_break
Facility_031,202402,ANC_2nd_visit,336.0,3360.0,extra_digit
